province;red;green;blue;x;x
185;180;131;197;x;x
186;160;177;156;x;x
187;118;98;131;x;x
188;73;207;187;x;x
189;250;110;153;x;x
190;83;154;34;x;x
191;173;133;198;x;x
192;224;53;67;x;x
193;125;11;13;x;x
194;97;238;252;x;x
195;85;11;98;x;x
196;150;109;157;x;x
197;111;36;212;x;x
198;141;3;249;x;x
199;186;156;42;x;x
200;104;85;254;x;x
201;49;125;151;x;x
202;160;66;88;x;x
203;237;213;28;x;x
204;133;179;143;x;x
205;14;72;129;x;x
206;5;22;177;x;x
207;242;216;197;x;x
208;194;88;171;x;x
209;1;99;103;x;x
210;253;239;111;x;x
211;100;22;85;x;x
212;40;171;114;x;x
213;15;230;157;x;x
214;110;223;83;x;x
215;177;45;184;x;x
216;86;41;180;x;x
217;75;239;136;x;x
218;68;132;87;x;x
219;203;225;76;x;x
220;175;39;88;x;x
221;123;136;184;x;x
222;133;189;209;x;x
223;248;116;193;x;x
224;96;109;35;x;x
225;183;212;60;x;x
226;246;37;93;x;x
227;118;40;212;x;x
228;36;170;30;x;x
229;52;157;206;x;x
230;77;176;18;x;x
231;147;31;99;x;x
232;124;22;56;x;x
233;97;119;16;x;x
234;99;46;137;x;x
235;167;14;245;x;x
236;23;163;202;x;x
237;235;83;174;x;x
238;180;8;254;x;x
239;178;13;226;x;x
240;174;249;247;x;x
241;93;248;65;x;x
242;129;130;138;x;x
243;94;220;9;x;x
244;239;181;25;x;x
245;194;230;119;x;x
246;109;35;141;x;x
247;2;133;180;x;x
248;249;5;64;x;x
249;52;149;25;x;x
250;223;39;91;x;x
251;89;81;124;x;x
252;166;164;24;x;x
253;80;67;95;x;x
254;98;130;9;x;x
255;190;241;65;x;x
256;111;211;130;x;x
257;63;211;3;x;x
258;15;98;26;x;x
259;101;78;240;x;x
260;66;208;163;x;x
261;148;83;105;x;x
262;124;58;137;x;x
263;97;75;184;x;x
264;152;173;107;x;x
265;43;205;125;x;x
266;114;23;187;x;x
267;246;60;76;x;x
268;211;73;195;x;x
269;32;166;70;x;x
270;55;24;180;x;x
271;223;38;19;x;x
272;138;75;39;x;x
273;191;107;25;x;x
274;147;10;37;x;x
275;110;199;99;x;x
276;206;163;199;x;x
277;255;28;40;x;x
278;165;117;207;x;x
279;135;136;128;x;x
280;237;20;206;x;x
281;27;245;116;x;x
282;45;6;81;x;x
283;74;180;14;x;x
284;52;192;47;x;x
285;113;250;162;x;x
286;19;253;169;x;x
287;231;255;171;x;x
288;242;117;141;x;x
289;44;35;191;x;x
290;248;169;190;x;x
291;205;68;38;x;x
292;66;105;79;x;x
293;79;20;86;x;x
294;122;200;163;x;x
295;26;150;229;x;x
296;209;160;208;x;x
297;235;167;235;x;x
298;146;158;197;x;x
299;38;65;59;x;x
300;28;78;127;x;x
301;151;20;13;x;x
302;172;10;94;x;x
303;158;146;39;x;x
304;156;49;230;x;x
305;137;65;85;x;x
306;108;126;242;x;x
307;22;190;220;x;x
308;241;72;7;x;x
309;94;165;129;x;x
310;8;212;25;x;x
311;212;44;0;x;x
312;25;64;112;x;x
313;71;177;137;x;x
314;208;172;231;x;x
315;188;207;228;x;x
316;40;254;87;x;x
317;96;198;198;x;x
318;78;26;102;x;x
319;133;162;177;x;x
320;27;122;225;x;x
321;81;168;57;x;x
322;90;12;146;x;x
323;254;231;232;x;x
324;19;80;129;x;x
325;183;43;40;x;x
326;13;145;246;x;x
327;75;4;224;x;x
328;165;52;99;x;x
329;40;37;127;x;x
330;12;104;73;x;x
331;170;186;5;x;x
332;107;160;66;x;x
333;152;228;191;x;x
334;123;255;91;x;x
335;173;228;237;x;x
336;251;55;174;x;x
337;118;235;253;x;x
338;185;251;91;x;x
339;21;2;8;x;x
340;181;206;0;x;x
341;32;38;27;x;x
342;157;80;31;x;x
343;233;43;217;x;x
344;156;16;50;x;x
345;104;242;20;x;x
346;109;164;136;x;x
347;35;86;125;x;x
348;104;66;122;x;x
349;111;23;46;x;x
350;20;177;63;x;x
351;156;196;222;x;x
352;196;96;163;x;x
353;106;148;28;x;x
354;111;70;83;x;x
355;33;73;73;x;x
356;212;183;89;x;x
357;172;2;248;x;x
358;238;7;163;x;x
359;218;234;41;x;x
360;30;100;163;x;x
361;148;36;0;x;x
362;168;142;152;x;x
363;155;237;170;x;x
364;91;161;65;x;x
365;39;76;157;x;x
366;255;162;115;x;x
367;41;165;170;x;x
368;87;30;239;x;x
369;53;184;193;x;x
370;14;184;157;x;x
371;144;133;28;x;x
372;215;205;134;x;x
373;215;140;167;x;x
374;95;14;248;x;x
375;133;36;79;x;x
376;142;148;148;x;x
377;3;189;2;x;x
378;240;102;161;x;x
379;240;102;177;x;x
380;207;143;192;x;x
381;133;8;38;x;x
382;79;121;92;x;x
383;222;240;126;x;x
384;158;107;4;x;x
385;203;56;118;x;x
386;194;138;231;x;x
387;223;151;62;x;x
388;19;129;244;x;x
389;114;149;238;x;x
390;94;199;49;x;x
391;100;245;217;x;x
392;150;204;113;x;x
393;249;82;152;x;x
394;111;134;253;x;x
395;209;98;80;x;x
396;57;59;254;x;x
397;43;129;244;x;x
398;159;141;54;x;x
399;196;250;46;x;x
400;196;196;108;x;x
401;213;174;119;x;x
402;156;154;27;x;x
403;16;221;132;x;x
404;216;116;8;x;x
405;193;145;151;x;x
406;98;209;146;x;x
407;80;128;221;x;x
408;145;90;167;x;x
409;164;124;214;x;x
410;95;253;7;x;x
411;11;248;156;x;x
412;101;168;238;x;x
413;86;87;50;x;x
414;130;222;173;x;x
415;46;81;132;x;x
416;228;69;68;x;x
417;3;18;0;x;x
418;132;39;127;x;x
419;179;213;16;x;x
420;40;92;58;x;x
421;95;52;97;x;x
422;163;4;51;x;x
423;204;189;147;x;x
424;255;111;234;x;x
425;72;253;142;x;x
426;244;116;4;x;x
427;62;25;73;x;x
428;69;206;220;x;x
429;190;8;137;x;x
430;207;11;146;x;x
431;12;35;18;x;x
432;40;36;134;x;x
433;66;171;202;x;x
434;240;241;29;x;x
435;18;243;97;x;x
436;66;204;171;x;x
437;149;194;78;x;x
438;94;119;85;x;x
439;42;49;161;x;x
440;222;231;141;x;x
441;77;243;230;x;x
442;31;252;63;x;x
443;95;132;117;x;x
444;189;192;122;x;x
445;141;104;97;x;x
446;126;1;38;x;x
447;205;164;169;x;x
448;73;196;169;x;x
449;248;162;77;x;x
450;59;170;115;x;x
451;158;190;186;x;x
452;247;222;165;x;x
453;87;226;77;x;x
454;219;253;212;x;x
455;26;128;155;x;x
456;51;45;189;x;x
457;54;148;245;x;x
458;130;247;255;x;x
459;7;47;155;x;x
460;123;93;129;x;x
461;70;127;150;x;x
462;128;39;213;x;x
463;221;14;234;x;x
464;231;54;75;x;x
465;118;21;219;x;x
466;56;246;222;x;x
467;177;185;85;x;x
468;31;165;253;x;x
469;94;73;16;x;x
470;54;233;42;x;x
471;185;227;59;x;x
472;90;187;79;x;x
473;152;20;126;x;x
474;213;114;97;x;x
475;200;55;149;x;x
476;15;219;98;x;x
477;43;232;108;x;x
478;180;171;97;x;x
479;4;50;211;x;x
480;2;56;163;x;x
481;41;246;227;x;x
482;221;1;94;x;x
483;55;232;57;x;x
484;14;122;217;x;x
485;188;57;51;x;x
486;149;124;71;x;x
487;169;90;181;x;x
488;218;24;115;x;x
489;148;14;244;x;x
490;255;241;107;x;x
491;82;158;59;x;x
492;90;211;139;x;x
493;57;204;2;x;x
494;236;54;116;x;x
495;47;130;164;x;x
496;229;34;165;x;x
497;189;74;251;x;x
498;109;110;166;x;x
499;169;131;1;x;x
500;80;242;96;x;x
501;54;216;73;x;x
502;240;94;184;x;x
503;74;164;37;x;x
504;154;32;73;x;x
505;34;255;93;x;x
506;123;60;55;x;x
507;197;172;74;x;x
508;201;140;31;x;x
509;60;204;149;x;x
510;57;239;87;x;x
511;90;114;229;x;x
512;249;152;203;x;x
513;244;99;143;x;x
514;63;229;129;x;x
515;98;249;180;x;x
516;31;58;124;x;x
517;216;85;7;x;x
518;10;131;35;x;x
519;252;19;232;x;x
520;56;114;92;x;x
521;56;83;82;x;x
522;200;170;72;x;x
523;13;39;108;x;x
524;45;85;227;x;x
525;138;216;144;x;x
526;188;68;234;x;x
527;239;158;200;x;x
528;124;177;173;x;x
529;94;127;175;x;x
530;141;252;128;x;x
531;235;134;139;x;x
532;127;166;66;x;x
533;224;4;223;x;x
534;102;80;93;x;x
535;163;53;99;x;x
536;40;204;121;x;x
537;107;47;62;x;x
538;58;49;174;x;x
539;254;196;201;x;x
540;64;225;83;x;x
541;234;96;245;x;x
542;14;165;4;x;x
543;73;179;27;x;x
544;235;191;8;x;x
545;99;202;190;x;x
546;99;167;182;x;x
547;170;6;104;x;x
548;228;235;51;x;x
549;172;248;145;x;x
550;214;157;52;x;x
551;132;198;67;x;x
552;235;205;250;x;x
553;203;239;121;x;x
554;135;54;208;x;x
555;73;241;175;x;x
556;10;172;160;x;x
557;93;145;143;x;x
558;122;170;141;x;x
559;97;218;165;x;x
560;25;97;142;x;x
561;38;86;77;x;x
562;132;57;227;x;x
563;238;218;170;x;x
564;95;47;38;x;x
565;200;221;216;x;x
566;196;102;42;x;x
567;124;94;163;x;x
568;149;50;58;x;x
569;128;206;200;x;x
570;61;226;177;x;x
571;233;141;199;x;x
572;83;34;50;x;x
573;53;8;219;x;x
574;197;247;95;x;x
575;61;153;52;x;x
576;27;242;99;x;x
577;142;21;55;x;x
578;222;166;119;x;x
579;124;62;248;x;x
580;250;192;81;x;x
581;162;90;243;x;x
582;79;10;43;x;x
583;230;221;30;x;x
584;84;30;66;x;x
585;196;234;37;x;x
586;121;57;76;x;x
587;66;80;196;x;x
588;110;125;167;x;x
589;0;67;154;x;x
590;2;112;204;x;x
591;99;23;232;x;x
592;205;117;87;x;x
593;104;35;167;x;x
594;67;219;29;x;x
595;62;74;31;x;x
596;132;45;104;x;x
597;48;185;60;x;x
598;179;226;213;x;x
599;233;8;69;x;x
600;12;93;11;x;x
601;239;36;146;x;x
602;53;207;149;x;x
603;221;4;255;x;x
604;241;106;243;x;x
605;231;106;44;x;x
606;94;124;198;x;x
607;6;176;184;x;x
608;247;179;140;x;x
609;57;208;216;x;x
610;136;65;225;x;x
611;7;245;229;x;x
612;149;113;235;x;x
613;60;238;214;x;x
614;87;217;210;x;x
615;227;38;232;x;x
616;113;97;143;x;x
617;2;39;49;x;x
618;134;206;65;x;x
619;144;219;208;x;x
620;59;79;166;x;x
621;210;205;77;x;x
622;80;168;238;x;x
623;99;106;40;x;x
624;186;73;138;x;x
625;194;47;31;x;x
626;86;96;231;x;x
627;222;107;202;x;x
628;235;97;186;x;x
629;95;59;117;x;x
630;161;29;155;x;x
631;34;116;91;x;x
632;251;145;223;x;x
633;240;6;146;x;x
634;22;168;189;x;x
635;60;44;165;x;x
636;98;77;212;x;x
637;114;79;70;x;x
638;182;118;216;x;x
639;142;74;250;x;x
640;200;38;191;x;x
641;64;127;226;x;x
642;55;224;195;x;x
643;208;194;209;x;x
644;81;26;55;x;x
645;37;8;173;x;x
646;16;57;162;x;x
647;135;136;44;x;x
648;98;186;110;x;x
649;4;192;252;x;x
650;193;197;79;x;x
651;152;88;206;x;x
652;49;174;91;x;x
653;141;84;163;x;x
654;87;119;205;x;x
655;71;241;120;x;x
656;99;108;155;x;x
657;155;129;7;x;x
658;209;67;164;x;x
659;9;89;72;x;x
660;201;255;141;x;x
661;133;28;17;x;x
662;87;76;106;x;x
663;233;70;128;x;x
664;24;107;9;x;x
665;140;62;72;x;x
666;126;251;108;x;x
667;47;101;167;x;x
668;215;181;132;x;x
669;53;40;119;x;x
670;143;223;90;x;x
671;184;66;155;x;x
672;222;48;198;x;x
673;177;56;125;x;x
674;102;184;200;x;x
675;81;95;107;x;x
676;55;150;166;x;x
677;245;67;6;x;x
678;51;146;163;x;x
679;192;69;223;x;x
680;182;169;160;x;x
681;10;53;18;x;x
682;179;60;24;x;x
683;147;255;153;x;x
684;248;201;120;x;x
685;49;114;246;x;x
686;20;150;166;x;x
687;232;211;77;x;x
688;90;140;50;x;x
689;137;168;176;x;x
690;153;191;25;x;x
691;111;86;211;x;x
692;142;172;199;x;x
693;8;44;188;x;x
694;127;224;234;x;x
695;194;133;100;x;x
696;179;196;199;x;x
697;57;182;34;x;x
698;252;246;187;x;x
699;81;82;58;x;x
700;144;72;17;x;x
701;73;251;160;x;x
702;26;186;101;x;x
703;145;151;216;x;x
704;193;29;75;x;x
705;65;77;231;x;x
706;215;119;21;x;x
707;16;1;239;x;x
708;204;177;87;x;x
709;232;19;151;x;x
710;211;255;81;x;x
711;229;131;175;x;x
712;11;11;67;x;x
713;43;123;124;x;x
714;39;50;154;x;x
715;148;157;186;x;x
716;212;79;27;x;x
717;42;21;157;x;x
718;115;122;221;x;x
719;51;100;236;x;x
720;45;124;92;x;x
721;241;74;35;x;x
722;233;40;122;x;x
723;183;172;148;x;x
724;204;34;29;x;x
725;6;152;41;x;x
726;194;165;19;x;x
727;198;146;77;x;x
728;52;110;205;x;x
729;216;211;125;x;x
730;142;228;48;x;x
731;29;74;137;x;x
732;254;97;90;x;x
733;152;245;58;x;x
734;95;96;111;x;x
735;48;221;106;x;x
736;182;190;200;x;x
737;224;81;206;x;x
738;225;81;6;x;x
739;32;223;176;x;x
740;113;83;32;x;x
741;58;191;244;x;x
742;173;93;117;x;x
743;33;253;88;x;x
744;167;204;41;x;x
745;195;158;174;x;x
746;77;176;210;x;x
747;73;210;132;x;x
748;231;182;139;x;x
749;125;219;218;x;x
750;122;219;22;x;x
751;236;206;13;x;x
752;73;103;48;x;x
753;53;166;100;x;x
754;80;201;11;x;x
755;145;134;148;x;x
756;88;231;163;x;x
757;155;221;121;x;x
758;215;132;125;x;x
759;217;180;55;x;x
760;126;116;176;x;x
761;202;199;196;x;x
762;242;91;119;x;x
763;108;170;70;x;x
764;197;243;214;x;x
765;97;150;3;x;x
766;40;197;214;x;x
767;102;15;174;x;x
768;180;76;0;x;x
769;57;108;25;x;x
770;198;124;248;x;x
771;76;204;144;x;x
772;81;24;113;x;x
773;120;93;235;x;x
774;244;139;253;x;x
775;70;250;60;x;x
776;49;2;78;x;x
777;233;224;198;x;x
778;39;170;105;x;x
779;71;171;254;x;x
780;78;15;238;x;x
781;44;189;47;x;x
782;103;84;153;x;x
783;245;98;58;x;x
784;93;134;225;x;x
785;78;42;213;x;x
786;65;12;150;x;x
787;75;185;123;x;x
788;201;208;164;x;x
789;140;31;210;x;x
790;186;157;238;x;x
791;180;142;119;x;x
792;223;229;57;x;x
793;253;32;222;x;x
794;164;126;23;x;x
795;18;217;12;x;x
796;111;92;20;x;x
797;94;225;29;x;x
798;118;135;146;x;x
799;233;152;43;x;x
800;51;155;242;x;x
801;197;85;141;x;x
802;24;113;191;x;x
803;56;59;29;x;x
804;129;48;162;x;x
805;234;17;246;x;x
806;45;116;198;x;x
807;206;91;238;x;x
808;163;23;40;x;x
809;75;88;132;x;x
810;229;244;76;x;x
811;38;134;48;x;x
812;62;52;85;x;x
813;63;214;165;x;x
814;221;61;94;x;x
815;12;237;116;x;x
816;178;140;190;x;x
817;208;98;163;x;x
818;119;101;30;x;x
819;156;211;149;x;x
820;87;142;166;x;x
821;166;82;11;x;x
822;195;26;76;x;x
823;4;24;127;x;x
824;193;196;53;x;x
825;1;117;149;x;x
826;125;139;163;x;x
827;35;144;177;x;x
828;54;8;224;x;x
829;150;151;42;x;x
830;71;58;173;x;x
831;194;254;203;x;x
832;114;31;217;x;x
833;82;147;211;x;x
834;132;48;248;x;x
835;0;16;139;x;x
836;225;247;250;x;x
837;9;18;38;x;x
838;246;114;213;x;x
839;70;139;167;x;x
840;181;111;12;x;x
841;139;107;21;x;x
842;189;222;91;x;x
843;222;106;92;x;x
844;51;249;183;x;x
845;8;179;26;x;x
846;169;166;233;x;x
847;143;171;122;x;x
848;165;165;113;x;x
849;95;75;239;x;x
850;212;92;105;x;x
851;36;58;184;x;x
852;96;24;3;x;x
853;157;178;215;x;x
854;107;182;104;x;x
855;195;46;12;x;x
856;250;130;225;x;x
857;138;145;11;x;x
858;12;33;36;x;x
859;128;15;229;x;x
860;234;38;33;x;x
861;187;103;201;x;x
862;240;83;107;x;x
863;151;168;180;x;x
864;5;141;2;x;x
865;165;221;98;x;x
866;167;29;82;x;x
867;104;216;35;x;x
868;55;166;232;x;x
869;76;57;209;x;x
870;136;13;166;x;x
871;72;27;41;x;x
872;174;114;29;x;x
873;11;245;212;x;x
874;76;248;58;x;x
875;217;242;189;x;x
876;4;106;140;x;x
877;238;255;200;x;x
878;249;97;82;x;x
879;118;178;201;x;x
880;246;193;29;x;x
881;239;119;36;x;x
882;6;77;59;x;x
883;117;148;14;x;x
884;198;140;179;x;x
885;109;223;45;x;x
886;205;187;54;x;x
887;64;67;118;x;x
888;225;243;96;x;x
889;185;97;187;x;x
890;134;179;47;x;x
891;254;210;204;x;x
892;165;42;20;x;x
893;102;47;106;x;x
894;145;228;71;x;x
895;238;242;155;x;x
896;220;224;110;x;x
897;218;175;139;x;x
898;214;195;209;x;x
899;155;245;202;x;x
900;78;1;235;x;x
901;193;118;90;x;x
902;147;17;144;x;x
903;190;204;92;x;x
904;212;80;204;x;x
905;11;77;73;x;x
906;210;219;171;x;x
907;197;132;149;x;x
908;31;32;191;x;x
909;80;17;41;x;x
910;107;154;32;x;x
911;56;128;123;x;x
912;184;162;221;x;x
913;199;125;33;x;x
914;42;98;6;x;x
915;26;212;229;x;x
916;171;93;135;x;x
917;245;218;124;x;x
918;252;88;187;x;x
919;105;0;11;x;x
920;178;194;79;x;x
921;35;52;172;x;x
922;200;131;216;x;x
923;154;71;149;x;x
924;135;55;160;x;x
925;172;139;198;x;x
926;194;245;245;x;x
927;230;160;170;x;x
928;178;77;7;x;x
929;16;159;233;x;x
930;114;219;84;x;x
931;65;191;183;x;x
932;200;190;86;x;x
933;146;186;218;x;x
934;207;108;70;x;x
935;240;31;40;x;x
936;3;17;40;x;x
937;175;242;48;x;x
938;211;243;149;x;x
939;182;165;175;x;x
940;238;89;36;x;x
941;140;42;87;x;x
942;104;87;170;x;x
943;3;42;221;x;x
944;164;65;1;x;x
945;73;232;205;x;x
946;122;113;181;x;x
947;15;96;67;x;x
948;238;53;130;x;x
949;117;11;109;x;x
950;210;206;198;x;x
951;164;108;89;x;x
952;10;227;114;x;x
953;66;91;7;x;x
954;251;219;10;x;x
955;182;81;55;x;x
956;9;0;40;x;x
957;91;198;230;x;x
958;182;214;198;x;x
959;108;143;80;x;x
960;127;136;74;x;x
961;93;75;216;x;x
962;193;71;133;x;x
963;145;90;165;x;x
964;143;165;228;x;x
965;185;105;216;x;x
966;200;227;48;x;x
967;155;212;234;x;x
968;101;5;51;x;x
969;6;33;95;x;x
970;190;45;44;x;x
971;171;251;237;x;x
972;251;35;53;x;x
973;177;205;122;x;x
974;201;134;42;x;x
975;104;230;243;x;x
976;82;161;81;x;x
977;185;19;73;x;x
978;61;168;186;x;x
979;225;237;57;x;x
980;150;59;152;x;x
981;163;9;255;x;x
982;123;145;162;x;x
983;5;12;255;x;x
984;223;96;92;x;x
985;163;144;62;x;x
986;183;156;20;x;x
987;180;192;195;x;x
988;220;231;24;x;x
989;239;230;96;x;x
990;182;196;129;x;x
991;187;231;237;x;x
992;26;109;187;x;x
993;83;236;234;x;x
994;177;19;160;x;x
995;142;207;161;x;x
996;14;159;73;x;x
997;50;163;105;x;x
998;224;204;246;x;x
999;27;172;126;x;x
1000;47;146;237;x;x
1001;89;184;228;x;x
1002;240;183;146;x;x
1003;36;234;126;x;x
1004;39;156;138;x;x
1005;161;163;94;x;x
1006;31;230;150;x;x
1007;141;154;208;x;x
1008;148;117;6;x;x
1009;7;52;225;x;x
1010;167;149;166;x;x
1011;120;36;158;x;x
1012;112;23;194;x;x
1013;47;95;201;x;x
1014;3;211;234;x;x
1015;31;17;104;x;x
1016;154;243;60;x;x
1017;46;250;217;x;x
1018;80;235;173;x;x
1019;143;44;186;x;x
1020;83;197;246;x;x
1021;81;85;78;x;x
1022;66;247;121;x;x
1023;231;19;122;x;x
1024;181;54;120;x;x
1025;141;8;48;x;x
1026;6;169;252;x;x
1027;49;2;60;x;x
1028;35;216;53;x;x
1029;129;109;63;x;x
1030;111;238;10;x;x
1031;251;6;60;x;x
1032;92;133;74;x;x
1033;91;189;204;x;x
1034;128;13;26;x;x
1035;240;240;36;x;x
1036;83;64;162;x;x
1037;88;180;212;x;x
1038;164;155;254;x;x
1039;52;140;2;x;x
1040;226;179;13;x;x
1041;112;123;157;x;x
1042;139;232;247;x;x
1043;90;166;119;x;x
1044;103;121;122;x;x
1045;178;221;224;x;x
1046;150;5;68;x;x
1047;155;118;44;x;x
1048;180;232;220;x;x
1049;24;39;121;x;x
1050;107;17;65;x;x
1051;101;73;152;x;x
1052;33;241;118;x;x
1053;159;127;152;x;x
1054;26;42;221;x;x
1055;155;252;21;x;x
1056;164;116;232;x;x
1057;218;83;29;x;x
1058;153;38;127;x;x
1059;194;30;225;x;x
1060;126;183;26;x;x
1061;76;16;199;x;x
1062;156;176;177;x;x
1063;152;236;150;x;x
1064;183;35;8;x;x
1065;237;15;39;x;x
1066;84;170;176;x;x
1067;81;27;43;x;x
1068;255;17;75;x;x
1069;87;236;111;x;x
1070;82;121;148;x;x
1071;228;205;209;x;x
1072;135;129;179;x;x
1073;233;61;137;x;x
1074;94;58;49;x;x
1075;61;133;98;x;x
1076;189;234;144;x;x
1077;225;200;74;x;x
1078;5;213;129;x;x
1079;131;169;193;x;x
1080;30;45;255;x;x
1081;135;156;29;x;x
1082;65;244;62;x;x
1083;25;72;131;x;x
1084;17;67;2;x;x
1085;21;12;217;x;x
1086;86;101;11;x;x
1087;160;232;56;x;x
1088;52;159;188;x;x
1089;105;113;39;x;x
1090;244;190;90;x;x
1091;69;125;113;x;x
1092;222;116;77;x;x
1093;63;96;103;x;x
1094;85;207;44;x;x
1095;111;35;144;x;x
1096;211;246;168;x;x
1097;227;230;95;x;x
1098;87;200;169;x;x
1099;164;116;250;x;x
1100;34;19;42;x;x
1101;9;108;28;x;x
1102;51;0;196;x;x
1103;195;67;99;x;x
1104;233;227;51;x;x
1105;213;57;11;x;x
1106;233;198;253;x;x
1107;98;231;111;x;x
1108;206;139;51;x;x
1109;112;45;70;x;x
1110;71;67;171;x;x
1111;133;148;97;x;x
1112;134;40;135;x;x
1113;14;44;68;x;x
1114;51;109;244;x;x
1115;57;59;64;x;x
1116;206;18;176;x;x
1117;231;51;74;x;x
1118;71;18;147;x;x
1119;161;112;104;x;x
1120;106;9;70;x;x
1121;76;201;101;x;x
1122;11;8;14;x;x
1123;10;205;233;x;x
1124;206;13;10;x;x
1125;73;100;220;x;x
1126;97;153;161;x;x
1127;71;6;178;x;x
1128;207;175;127;x;x
1129;219;84;208;x;x
1130;198;74;78;x;x
1131;187;0;18;x;x
1132;27;244;231;x;x
1133;93;88;208;x;x
1134;86;242;1;x;x
1135;112;180;57;x;x
1136;63;239;221;x;x
1137;185;236;151;x;x
1138;27;126;30;x;x
1139;26;102;122;x;x
1140;169;249;125;x;x
1141;242;218;221;x;x
1142;69;15;169;x;x
1143;3;123;57;x;x
1144;59;232;85;x;x
